store_name,owner_name,contact_number,address,city,website,google_maps_url
"Stone House :- Best Granite, Sandstone & Marble in Jaipur | CNC Jaali | Stone Mural | Stone Wall Pannel | Sandstone Jaali",,08058829492,"26,Kalwar Road, Surjeet Nagar,Jhotwara Near 200 ft Kalwar Road Byepass,Jhotwada, opposite SaniDev Mandir, Jaipur, Rajasthan 302012",Jaipur,4.9,20,Granite supplier,https://www.thestonehouse.in/,"https://www.google.com/maps/place/Stone+House+:-+Best+Granite,+Sandstone+%26+Marble+in+Jaipur+%7C+CNC+Jaali+%7C+Stone+Mural+%7C+Stone+Wall+Pannel+%7C+Sandstone+Jaali/data=!4m7!3m6!1s0x396db55c279d9091:0x9ec3179de801697b!8m2!3d26.9468981!4d75.728561!16s%2Fg%2F11hy_q2k7r!19sChIJkZCdJ1y1bTkRe2kB6J0Xw54?authuser=0&hl=en&rclk=1"
SHRI TIRUPATI GRANITE,,09649910111,"Ajmer Rd, near 200 Feet Bypass Road, opposite SHIKHER DENTAL HOSPITAL, Rani Sati Nagar, Nirman Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur,5.0,41,Granite supplier,,https://www.google.com/maps/place/SHRI+TIRUPATI+GRANITE/data=!4m7!3m6!1s0x396db57bb67a09a9:0xb7537a01a8eeb3fe!8m2!3d26.8896543!4d75.7394321!16s%2Fg%2F11v5fvg2h5!19sChIJqQl6tnu1bTkR_rPuqAF6U7c?authuser=0&hl=en&rclk=1
GRANITE WORLD - Granite Dealers,,09929869511,"Plot No. 1, Chitrakoot Marg, Ajmer Rd, near Hotel Kiran Palace, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur,4.6,5,Granite supplier,,https://www.google.com/maps/place/GRANITE+WORLD+-+Granite+Dealers/data=!4m7!3m6!1s0x396db471e78f3bcb:0x73d6b7f73c27bb92!8m2!3d26.8922691!4d75.7400351!16s%2Fg%2F11j0bkflp4!19sChIJyzuP53G0bTkRkrsnPPe31nM?authuser=0&hl=en&rclk=1
Oswal marble & Granite (OMG),,09828152255,"New Sanganer Rd, near Jain and choudhary dharm kata, Shiv Parwati Nagar, Geetanjali Colony, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302020",Jaipur,5.0,6,Granite supplier,,https://www.google.com/maps/place/Oswal+marble+%26+Granite+%28OMG%29/data=!4m7!3m6!1s0x396db4fd1ee4ba23:0xa3656989b1823658!8m2!3d26.867491!4d75.7509364!16s%2Fg%2F11c6v4pw0m!19sChIJI7rkHv20bTkRWDaCsYlpZaM?authuser=0&hl=en&rclk=1
Deepika marble & granite,,07878568188,"B-5, Vigyan Nagar, Jagatpura, Jaipur, Rajasthan 302017",Jaipur,4.6,14,Granite supplier,,https://www.google.com/maps/place/Deepika+marble+%26+granite/data=!4m7!3m6!1s0x396dc99b7c857dad:0x4a8f8d11ff261145!8m2!3d26.821522!4d75.8489224!16s%2Fg%2F11rrs0gpx9!19sChIJrX2FfJvJbTkRRREm_xGNj0o?authuser=0&hl=en&rclk=1
PAHARIYA STONES,,08290088889,"Plot No. 21, Gopalpura Bypass Rd, opp. Metro Pillar 19, near Mansarovar Metro Station, Nirman Nagar, Ranisati Nagar, Jaipur, Rajasthan 302020",Jaipur,4.8,31,Marble supplier,https://pahariyastones.com/,https://www.google.com/maps/place/PAHARIYA+STONES/data=!4m7!3m6!1s0x396db4b7519395f1:0xab302148f01c23ff!8m2!3d26.8796381!4d75.7517288!16s%2Fg%2F11ckkydht0!19sChIJ8ZWTUbe0bTkR_yMc8EghMKs?authuser=0&hl=en&rclk=1
Vyas Marbles,,09829013230,"Gokulpura - Kalwar Rd, Gokulpura, Jaipur, Rajasthan 302012",Jaipur,5.0,30,Marble supplier,http://www.vyasmarbles.com/,https://www.google.com/maps/place/Vyas+Marbles/data=!4m7!3m6!1s0x396db3314fe466ab:0x9c109a7f32f1a20d!8m2!3d26.9414183!4d75.7209014!16s%2Fg%2F11c208t6qv!19sChIJq2bkTzGzbTkRDaLxMn-aEJw?authuser=0&hl=en&rclk=1
Welcome Granite & Marbles,,09414018888,"Ajmer Road, Opposite Shyam Nagar, Mod, Sodala, Jaipur, Rajasthan 302006",Jaipur,4.6,9,Marble supplier,,https://www.google.com/maps/place/Welcome+Granite+%26+Marbles/data=!4m7!3m6!1s0x396db46495555555:0xc5775a5f89a1784f!8m2!3d26.8996765!4d75.7677793!16s%2Fg%2F1vyxgtph!19sChIJVVVVlWS0bTkRT3ihiV9ad8U?authuser=0&hl=en&rclk=1
Glorious Granite : Marble and granite supplier in jaipur,,08432387777,"78 ,DCM, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur,4.9,7,Granite supplier,https://gloriousgranite.in/,https://www.google.com/maps/place/Glorious+Granite+:+Marble+and+granite+supplier+in+jaipur/data=!4m7!3m6!1s0x396db5c07da2b099:0x374783a140838ee0!8m2!3d26.8920894!4d75.7429043!16s%2Fg%2F11rgx306dc!19sChIJmbCifcC1bTkR4I6DQKGDRzc?authuser=0&hl=en&rclk=1
Hitesh Granite & Stones,,09571516204,"NRI Colony Rd, Ramnagariya, Jaipur, Rajasthan 303012",Jaipur,5.0,17,Granite supplier,http://www.jaloregranites.com/,https://www.google.com/maps/place/Hitesh+Granite+%26+Stones/data=!4m7!3m6!1s0x396dc9ccdee38d7d:0xc30a9876fb494d9!8m2!3d26.8177112!4d75.8522434!16s%2Fg%2F11g88dc1dt!19sChIJfY3j3szJbTkR2ZS0b4epMAw?authuser=0&hl=en&rclk=1
