store_name,contact_number,address,city
"Stone House :- Best Granite, Sandstone & Marble in Jaipur | CNC Jaali | Stone Mural | Stone Wall Pannel | Sandstone Jaali",08058829492,"26,Kalwar Road, Surjeet Nagar,Jhotwara Near 200 ft Kalwar Road Byepass,Jhotwada, opposite SaniDev Mandir, Jaipur, Rajasthan 302012",Jaipur
SHRI TIRUPATI GRANITE,09649910111,"Ajmer Rd, near 200 Feet Bypass Road, opposite SHIKHER DENTAL HOSPITAL, Rani Sati Nagar, Nirman Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur
GRANITE WORLD - Granite Dealers,09929869511,"Plot No. 1, Chitrakoot Marg, Ajmer Rd, near Hotel Kiran Palace, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur
Oswal marble & Granite (OMG),09828152255,"New Sanganer Rd, near Jain and choudhary dharm kata, Shiv Parwati Nagar, Geetanjali Colony, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
Deepika marble & granite,07878568188,"B-5, Vigyan Nagar, Jagatpura, Jaipur, Rajasthan 302017",Jaipur
PAHARIYA STONES,08290088889,"Plot No. 21, Gopalpura Bypass Rd, opp. Metro Pillar 19, near Mansarovar Metro Station, Nirman Nagar, Ranisati Nagar, Jaipur, Rajasthan 302020",Jaipur
Vyas Marbles,09829013230,"Gokulpura - Kalwar Rd, Gokulpura, Jaipur, Rajasthan 302012",Jaipur
Welcome Granite & Marbles,09414018888,"Ajmer Road, Opposite Shyam Nagar, Mod, Sodala, Jaipur, Rajasthan 302006",Jaipur
Glorious Granite : Marble and granite supplier in jaipur,08432387777,"78 ,DCM, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur
Hitesh Granite & Stones,09571516204,"NRI Colony Rd, Ramnagariya, Jaipur, Rajasthan 303012",Jaipur
PAHARIYA STONES | Imported Marble in Jaipur | Granite | Quartz | Premium Stones,08290088885,"Metro Station, 20, Gopalpura Bypass Rd, opposite Pillar No. 18, Nirman Nagar, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
K.K STONE,08290963938,"Chandra Villa' B-182 Bank officers Campus, Jagatpura, Ramnagariya, Jaipur, Rajasthan 302017",Jaipur
UNIQUE STONEX INDIA.,09887678787,"B, 2, Gopalpura Bypass Rd, Dr. Rajendra Prasad Nagar-A, Manyawas, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur
Shree Balaji marble and granite,08290315308,"Sukh Vihar, 41, Gurjar Ki Thadi, Jaipur, Rajasthan 302019",Jaipur
Dreamax Marble Center Jaipur,09001647120,"Shiv Mandir, Opp: Vedanta Hospital, Ajmer Rd, Rani Sati Nagar, Nirman Nagar, Brijlalpura, Jaipur, Rajasthan 302006",Jaipur
Gravity Stones,09672027524,"Metro Station, opposite Pillar No:- 26, Nirman Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur
Granite & Stone hub,09004253224,"D-40 Central Spine Jirota Opp. Bombay Hospital, Near Apparel Park, Jagatpura, Jaipur, Rajasthan 302017",Jaipur
Kale Khan Chhajju Khan Stone Merchant,09929888887,"E-19, Madhuvan Colony, Barkat Nagar, Tonk Phatak, Jaipur, Rajasthan 302015",Jaipur
Prakash Marbles,09928010921,"Plot No.98,Lajpat Nagar, Mahal Rd, Braj Puri, Vidhyadhar Nagar, Sin Ka Barah, Jagatpura, Jaipur, Rajasthan 302017",Jaipur
Granite Palace,08619989282,"Hans Vihar, Plot no. 98, Vande Mataram Marg, near family hospital and front of indian petrol pump, Manyawas, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
Balaji Tiles & Granite - Best Tiles and Granite Supplier in Jaipur,08209743802,"Rajasthan Girls Collage, Charan Nadi 2nd, Kaishav Nagar, Jaipur, Rajasthan 302039",Jaipur
Jaipur Tiles,09694317171,"Kalwar, Rajasthan 302044",Jaipur
SHIVMAHIMA TILES AND GRANITES,09785662244,"116, Mod, opp. Indian Oil Petrol Pump, near Aurobindo School, Sirsi, Jaipur, Rajasthan 302012",Jaipur
Swastik Stones (Granite stone showroom),09314510275,"B-18, Govind Marg, Adarsh Nagar, Jaipur, Rajasthan 302004",Jaipur
Gupta Marble and granites,09414022886,"287, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur
Kanika marbles Granite and Tile,09414888213,"Gokulpura , kalwar road , jhotwara Gokulpura road, Kalwar Rd, Jaipur, Rajasthan 302012",Jaipur
Shree Avtar Marbles & Granite - Best Marbles and granite in Jaipur,09314429397,"E-210, Rd Number 6, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",Jaipur
MANGALAM GRANITE,08302458226,"257, Dalda Factory Rd, Mahaveer Nagar 2, Maharani Farm, Gayatri Nagar B, Durgapura, Jaipur, Rajasthan 302018",Jaipur
Kajaria Tiles Authorised Showroom - Jaipur Tiles & Granite,09694317171,"HP Petrol Pump, Jhotwara Rd, Gokulpura, Hathod, Jaipur, Rajasthan 302012",Jaipur
Gwalior Stones,08440909966,"23,24, Kalwar Rd, Suraj Nagar, Jhotwara, Jaipur, Rajasthan 302012",Jaipur
Dhoot Imported Marble,09829063114,"DCM, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur
Laxmi Marble & Granites.,09413324121,"Shop No.27, 28, Meena Wala -Sirsi Rd, Panchyawala, Jaipur, Rajasthan 302034",Jaipur
Shri Krishna Tiles granite and chemicals,09079651423,"pillar number 16, Mansarovar metro station, Shop number 4, Jaipur, Rajasthan 302020",Jaipur
Shree Balaji traders In Jaipur,08000021353,"Sirsi Rd, near Ganga Devi filing station, Jaipur, Rajasthan 302012",Jaipur
Coral Quartz,07300069242,"F-78 A, Rd Number 5, behind Cks Hospital, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",Jaipur
SHIVA TILES & Granite,09799365865,"Ground Floor, Shree Vinayak Plaza, Plot no 6, Badarwas Road, Manyawas, Mohru Nagar, Mansarovar, Jaipur, Rajasthan 302019",Jaipur
Jaipur Stone Pebble (White Black Colored Wholesale),07340561155,"B3, Bhan Nagar, Basement, Queens Rd, Vaishali Nagar, Jaipur, Rajasthan 302021",Jaipur
Shri Balaji Marbles,09783188266,"New Sanganer Rd, Ward 27, Mansarovar Sector 6, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
Marble Udhyog,09414073597,"Govind Marg, Saket Colony, Adarsh Nagar, Jaipur, Rajasthan 302004",Jaipur
Pareek Stonex Marble & Granite,09829173551,"Police Station, C-353, Kings Rd, near shyam Nagar, Nirman Nagar, Ranisati Nagar, Jaipur, Rajasthan 302020",Jaipur
AMAC Stones,08209113728,"Shyam Sarovar Colony, 100 Ft. Road, Gopalpura Bypass Rd, near Rana Granite & Marbles, Gajsinghpur, Jaipur, Rajasthan 302020",Jaipur
Digvijay Marble,08560800951,"A 168 Surjeet Nagar, Patrol Pump K Pass, Kalwar Road Jaipur, Jaipur, Rajasthan 302012",Jaipur
Shree Shyam Marble,07878855829,"Pandit Ji Ka Farm, New Sanganer Rd, opposite Sparsh Hospital, near Oxford International Public School, Sanganer, Jaipur, Rajasthan 302029",Jaipur
Neelmani Tiles & Granite,07877702774,"Metro Pillar No 23, Metro Station Mansarovar, Opposite, Gopalpura Bypass Rd, Mansarovar Sector 1, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
The Stone & Tile Studio,09928346608,"149 B, Vidhansabha Nagar, Mansarovar, Jaipur, Rajasthan 302020",Jaipur
Mahalaxmi Granite,09887022470,"A23, VIT Rd, Swaroop Vihar, Jagatpura, Jaipur, Rajasthan 302017",Jaipur
